Theta,Phi,Sigma1,Sigma2,Shear,VM,Shear1,Error
72,60,30631.86594,3701.359957,8435.53263,102091.8498,50684.57736,
72,62,21881.3126,2551.480535,5749.137624,69162.62333,34042.89717,
72,64,26023.58733,2444.169762,4700.826923,67273.17092,33764.50806,
72,66,19229.30202,2566.513877,3768.409494,56244.5544,27731.10458,
72,68,15012.72932,1601.424507,2828.384387,49776.98919,24653.86991,
72,70,14776.55228,1595.706723,2531.157713,40360.92714,19439.63237,
72,72,14623.87715,1538.556981,2885.360291,46557.40097,23094.84255,
72,74,17147.17743,1921.209235,2516.482123,43677.67532,21583.32403,
72,76,11127.71558,1297.627634,1474.856591,28757.65297,14359.74834,
72,78,9617.80153,1159.97441,1273.4689,29166.27772,14449.13085,
72,80,9906.80862,1292.16249,1096.636625,31862.37768,15831.31279,
72,82,10582.34618,1160.634261,857.297118,26740.85232,13249.68176,
72,84,7785.568145,824.0559359,286.4417637,22698.87597,11313.90706,
72,86,7057.806166,869.8700659,120.7026995,19073.87691,9530.324959,
72,88,7527.007122,977.7877532,10.68206071,21513.11074,10763.97821,
72,90,7341.968127,826.9001824,-45.42926066,16205.19057,8091.467171,
74,60,nan,nan,nan,nan,nan,
74,62,30107.63366,2814.425791,8717.050162,81024.74784,40848.67405,
74,64,25057.28717,2248.629188,3651.054803,59241.82064,29828.6985,
74,66,26353.14472,1856.909019,3915.749269,51941.1653,26136.10991,
74,68,19235.9341,2443.280545,3229.957,59462.18127,29492.68056,
74,70,17581.67831,1574.284313,2284.003573,42723.20979,21049.78118,
74,72,14123.99836,1531.350017,2779.511741,44354.75558,21799.92487,
74,74,13888.76056,1236.537826,2545.434765,40476.63844,20240.17183,
74,76,13215.44889,1326.716844,2076.314808,38954.41458,19413.33092,
74,78,10571.79243,1145.104499,1088.581272,37311.5883,18566.55432,
74,80,11071.9019,1048.355247,898.3914593,29845.49893,14871.96076,
74,82,10231.90506,1122.15957,660.6536214,29427.67283,14680.05579,
74,84,9309.232434,1009.237923,324.7722836,29207.95339,14559.93318,
74,86,7771.529512,924.9430108,146.4513907,20835.77235,10411.9049,
74,88,6907.663273,897.8311365,22.33580473,18305.33584,9155.154103,
74,90,6953.52845,804.5199108,-22.6843584,20207.49127,10087.50783,
76,60,39627.83703,3055.852118,6785.086837,97576.06039,48361.74038,
76,62,40771.62071,2683.664283,7248.657825,93618.01636,46400.60889,
76,64,24680.20435,2157.852344,3070.056264,59860.01554,30007.11737,
76,66,25528.65693,2052.747891,3656.964726,77528.852,38492.42841,
76,68,25072.06491,1530.318652,3309.373619,53879.37396,26599.12385,
76,70,19129.43791,2490.355289,3451.77951,46957.5846,23574.17621,
76,72,15593.74843,1480.734228,2483.743054,38940.61574,19346.12551,
76,74,17286.13983,1660.605708,1833.926699,40201.34777,19996.80743,
76,76,13621.10618,1391.87239,1621.647614,37384.53719,18600.28296,
76,78,13734.79575,1330.421883,1284.085502,38406.93818,19166.38587,
76,80,11113.23305,1131.399101,641.4237039,27004.16334,13446.86864,
76,82,12394.93178,1235.110785,656.6530014,30224.19922,15013.39699,
76,84,10393.97256,1170.037568,407.7758356,31395.83446,15710.95013,
76,86,12181.14837,1148.092587,181.9030864,32114.22831,16099.46038,
76,88,7742.37514,968.0091025,31.76187054,23557.58677,11742.60221,
76,90,7376.774666,1043.655215,9.784378718,21142.19159,10625.55357,
78,60,50302.84411,3313.116618,7313.165817,104954.6154,51679.97074,
78,62,42585.20026,2723.259539,5204.719562,99037.60929,49080.42382,
78,64,35232.75536,2647.164992,6842.053267,86377.18441,42626.06355,
78,66,25565.98042,2621.33756,4118.371023,70299.41298,35164.0481,
78,68,21409.77875,2460.106943,2975.573125,53238.64323,26592.02456,
78,70,19104.40342,1660.2287,2497.960559,44712.44508,22191.25597,
78,72,22819.04726,1886.958384,2835.068823,49176.71243,24441.01904,
