E1,E2,G12,theta,phi,max_sigma1,max_sigma2,max_shear,max_vm,max_shear1,ux,uy,,E1,E2,G12,theta,phi,max_sigma1,max_sigma2,max_shear,max_vm,max_shear1,ux,uy,,E1,E2,G12,theta,phi,max_vm,max_shear1,ux,uy
1.55E+11,7500000000,4000000000,63.25532044,85.62032043,200322.1736,51905.54869,7915.656997,1131179.675,537410.8457,0.000445743,-6.43E-08,,2.05E+11,7500000000,4000000000,69.14686389,89.75828398,253057.0945,49582.09524,238.8516511,1310718.28,622632.6153,0.00044471,-5.67258E-08,,,,,,,,,,
1.55E+11,7500000000,6000000000,61.27833234,84.78681319,190134.1367,58652.66727,11165.61866,1093458.68,518357.8621,0.000402476,-6.13E-08,,2.3E+11,10000000000,8000000000,69.28685644,88.76680043,273322.1797,58516.30412,2309.346924,1317588.72,624307.736,0.0004409,-3.98187E-08,,,,,,,,,,
1.55E+11,7500000000,8000000000,61.13992261,84.91816855,210717.7898,65067.50976,8419.089688,1116272.049,528011.8384,0.000409983,-5.23E-08,,2.3E+11,7500000000,4000000000,69.29940546,88.83227849,255021.9575,52775.58607,1474.440461,1338734.533,636193.9894,0.000387562,-5.68528E-08,,,,,,,,,,
1.8E+11,7500000000,4000000000,66.569474,88.75924529,212699.7845,44477.41668,1669.136364,1180566.501,561136.459,0.000415466,-7.17E-08,,2.3E+11,5000000000,4000000000,63.6613626,87.46852154,168324.7241,43004.32414,3667.371629,1377590.532,653092.8463,0.000284712,-8.95793E-08,,,,,,,,,,
1.8E+11,7500000000,6000000000,62.12082136,67.2129419,536052.6925,162714.8725,122606.8491,1573730.592,743821.9635,0.000870782,-6.23E-08,,1.55E+11,10000000000,6000000000,63.00656924,68.63664777,595702.2989,155744.9277,106683.3286,1405514.251,665121.2506,0.00097493,-5.35171E-08,,,,,,,,,,
1.8E+11,7500000000,8000000000,62.63664692,68.48325699,542854.1335,151859.115,113716.2437,1626309.816,768202.4856,0.000830382,-5.93E-08,,2.3E+11,5000000000,6000000000,63.85881827,88.06743346,188847.3339,45996.43279,2528.238339,1423299.238,673865.4092,0.000290116,-8.50248E-08,,,,,,,,,,
2.05E+11,7500000000,4000000000,69.14686389,89.75828398,253057.0945,49582.09524,238.8516511,1310718.28,622632.6153,0.00044471,-5.67E-08,,2.05E+11,7500000000,8000000000,69.33640723,88.77678144,329596.5968,65684.90373,2373.855702,1434112.356,679007.0752,0.000499812,-5.75676E-08,,,,,,,,,,
2.05E+11,7500000000,6000000000,64.77360796,89.55040998,184061.6792,41451.67067,401.5557053,1177308.024,558118.0271,0.000317917,-5.75E-08,,1.3E+11,7500000000,4000000000,60.65890947,67.36663966,511872.3019,166249.1778,108069.1023,1486406.296,705741.7527,0.001099045,-6.89917E-08,,,,,,,,,,
2.05E+11,7500000000,8000000000,69.33640723,88.77678144,329596.5968,65684.90373,2373.855702,1434112.356,679007.0752,0.000499812,-5.76E-08,,1.8E+11,7500000000,6000000000,62.12082136,67.2129419,536052.6925,162714.8725,122606.8491,1573730.592,743821.9635,0.000870782,-6.22914E-08,,,,,,,,,,
2.3E+11,7500000000,4000000000,69.29940546,88.83227849,255021.9575,52775.58607,1474.440461,1338734.533,636193.9894,0.000387562,-5.69E-08,,1.8E+11,7500000000,8000000000,62.63664692,68.48325699,542854.1335,151859.115,113716.2437,1626309.816,768202.4856,0.000830382,-5.93159E-08,,,,,,,,,,
